HourUTC,HourDK,PriceArea,ConsumerType_DE35,TotalCon
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,111,67502
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,112,1226
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,119,21534
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,121,218501
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,122,23862
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,123,11886
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,130,15382
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,211,144287
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,212,23464
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,215,43156
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,220,7182
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,310,79044
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,320,7760
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,330,10874
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,340,9550
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,350,56424
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,360,33603
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,370,10014
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,381,10303
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,382,32415
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,390,7292
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,410,10554
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,421,59231
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,422,42795
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,431,21799
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,432,29019
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,433,21773
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,441,49535
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,442,18852
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,443,18259
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,444,10657
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,445,12848
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,446,27245
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,447,14128
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,450,10879
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,461,5048
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,462,3982
2023-06-19T21:00:00,2023-06-19T23:00:00,DK1,999,831982
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,111,47428
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,112,906
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,119,26282
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,121,109224
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,122,23102
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,123,3294
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,130,12292
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,211,19190
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,212,1863
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,215,256
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,220,945
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,310,17975
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,320,2205
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,330,1238
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,340,4161
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,350,27064
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,360,8618
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,370,822
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,381,542
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,382,33120
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,390,2022
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,410,5161
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,421,34583
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,422,17679
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,431,13342
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,432,36209
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,433,38359
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,441,43556
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,442,5734
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,443,25064
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,444,17798
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,445,10083
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,446,23858
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,447,15387
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,450,5776
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,461,17178
2023-06-19T21:00:00,2023-06-19T23:00:00,DK2,462,14178
